Atom  COVR   GRAR   VDWR   T   ATSYMB   ATWE
  1    38     38    117   0.15   H     1.008000
  2     1      1    140   0.10   He    4.002600
  3   123    123    180   0.10   Li    6.941000
  4    89     89    210   0.10   Be    9.012180
  5    91     91    210   0.10   B    10.810000
  6    77     77    170   0.2    C    12.011000
  7    75     75    158   0.15   N    14.006700
  8    73     73    152   0.2    O    15.999400
  9    71     71    147   0.10   F    18.998400
 10   160    160    160   0.10   Ne   20.179001
 11   160    160    230   0.10   Na   22.989799
 12   130    140    170   0.10   Mg   24.305000
 13   125    125    210   0.10   Al   26.981501
 14   110    110    170   0.10   Si   28.086000
 15   100    100    180   0.10   P    30.973801
 16   104    104    180   0.10   S    32.060001
 17    99     99    178   0.10   Cl   35.452999
 18   190    190    190   0.10   Ar   39.939999
 19   213    213    280   0.10   K    39.102001
 20   174    174    210   0.10   Ca   40.080002
 21   160    160    210   0.10   Sc   44.955898
 22   140    140    210   0.10   Ti   47.900002
 23   135    135    210   0.10   V    50.941399
 24   140    140    210   0.10   Cr   51.995998
 25   140    140    210   0.10   Mn   54.938000
 26   140    140    210   0.10   Fe   55.847000
 27   135    135    210   0.10   Co   58.933201
 28   135    135    160   0.10   Ni   58.709999
 29   135    135    140   0.10   Cu   63.546001
 30   135    135    140   0.10   Zn   65.370003
 31   130    130    190   0.10   Ga   69.720001
 32   125    125    210   0.10   Ge   72.589996
 33   115    115    185   0.10   As   74.921600
 34   115    115    190   0.10   Se   78.959999
 35   114    114    185   0.10   Br   79.903999
 36   200    200    200   0.10   Kr   83.800003
 37   220    220    210   0.10   Rb   85.467796
 38   200    200    210   0.10   Sr   87.620003
 39   185    185    210   0.10   Y    88.905899
 40   155    155    210   0.10   Zr   91.220001
 41   145    145    210   0.10   Nb   92.906403
 42   145    145    210   0.10   Mo   95.940002
 43   135    135    210   0.10   Tc   98.906197
 44   130    130    210   0.10   Ru  101.070000
 45   135    135    210   0.10   Rh  102.905502
 46   140    140    160   0.10   Pd  106.400002
 47   160    160    170   0.10   Ag  107.867996
 48   155    155    160   0.10   Cd  112.400002
 49   155    155    190   0.10   In  114.820000
 50   145    220    220   0.10   Sn  118.690002
 51   145    145    210   0.10   Sb  121.750000
 52   140    140    206   0.10   Te  127.599998
 53   140    140    196   0.10   I   126.904503
 54   253    253    216   0.10   Xe  131.300003
 55   260    260    210   0.10   Cs  132.905502
 56   200    200    210   0.10   Ba  137.339996
 57   175    175    210   0.10   La  138.905502
 58   155    155    210   0.10   Ce  140.119995
 59   155    155    210   0.10   Pr  140.907700
 60   155    155    210   0.10   Nd  144.240005
 61   155    155    210   0.10   Pm  145.000000
 62   155    155    210   0.10   Sm  150.399994
 63   155    155    210   0.10   Eu  151.960007
 64   155    155    210   0.10   Gd  157.250000
 65   155    155    210   0.10   Tb  158.925400
 66   155    155    210   0.10   Dy  162.500000
 67   155    155    210   0.10   Ho  164.930298
 68   155    155    210   0.10   Er  167.259995
 69   155    155    210   0.10   Tm  168.934204
 70   155    155    210   0.10   Yb  173.039993
 71   155    155    210   0.10   Lu  174.970001
 72   155    155    210   0.10   Hf  178.490005
 73   145    145    210   0.10   Ta  180.947906
 74   135    135    210   0.10   W   183.850006
 75   135    135    210   0.10   Re  186.199997
 76   130    130    210   0.10   Os  190.199997
 77   135    135    210   0.10   Ir  192.220001
 78   135    135    175   0.10   Pt  195.089996
 79   135    135    170   0.10   Au  196.966507
 80   150    150    150   0.10   Hg  200.589996
 81   190    190    200   0.10   Tl  204.369995
 82   180    180    210   0.10   Pb  207.199997
 83   160    160    210   0.10   Bi  208.980606
 84   155    155    210   0.10   Po  209.000000
 85   155    155    210   0.10   At  210.000000
 86   155    155    210   0.10   Rn  222.000000
 87   280    280    350   0.10   Fr  223.000000
 88   144    144    350   0.10   Ra  226.025406
 89   195    195    350   0.10   Ac  227.000000
 90   155    155    210   0.10   Th  232.038101
 91   155    155    210   0.10   Pa  231.035904
 92   155    155    210   0.10   U   238.029007
 93   155    155    210   0.10   Np  237.048203
 94   155    155    210   0.10   Pu  239.000000
 95   155    155    210   0.10   Am  241.000000
 96   155    155    210   0.10   Cm  242.000000
 97   155    155    210   0.10   Bk  247.000000
 98   155    155    210   0.10   Cf  251.000000
 99    38     38    117   0.10   Hb    1.008000
100    15     38    117   0.10   LP    1.000000
101    38     38    117   0.10   HB    1.008000
102   155    155    210   0.10   No  255.000000
103   155    155    210   0.10   Lr  256.000000
104    77     77     0.1  0.20   Q     0.000000
  1    38     38    117   0.10   H     1.008000
  2     1      1    140   0.10   HE    4.002600
  3   123    123    180   0.10   LI    6.941000
  4    89     89    210   0.10   BE    9.012180
  5    91     91    210   0.10   B    10.810000
  6    77     77    170   0.10   C    12.011000
  7    75     75    158   0.10   N    14.006700
  8    73     73    152   0.10   O    15.999400
  9    71     71    147   0.10   F    18.998400
 10   160    160    160   0.10   NE   20.179001
 11   160    160    230   0.10   NA   22.989799
 12   130    140    170   0.10   MG   24.305000
 13   125    125    210   0.10   AL   26.981501
 14   110    110    170   0.10   SI   28.086000
 15   100    100    180   0.10   P    30.973801
 16   104    104    180   0.10   S    32.060001
 17    99     99    178   0.10   CL   35.452999
 18   190    190    190   0.10   AR   39.939999
 19   213    213    280   0.10   K    39.102001
 20   174    174    210   0.10   CA   40.080002
 21   160    160    210   0.10   SC   44.955898
 22   140    140    210   0.10   TI   47.900002
 23   135    135    210   0.10   V    50.941399
 24   140    140    210   0.10   CR   51.995998
 25   140    140    210   0.10   MN   54.938000
 26   140    140    210   0.10   FE   55.847000
 27   135    135    210   0.10   CO   58.933201
 28   135    135    160   0.10   NI   58.709999
 29   135    135    140   0.10   CU   63.546001
 30   135    135    140   0.10   ZN   65.370003
 31   130    130    190   0.10   GA   69.720001
 32   125    125    210   0.10   GE   72.589996
 33   115    115    185   0.10   AS   74.921600
 34   115    115    190   0.10   SE   78.959999
 35   114    114    185   0.10   BR   79.903999
 36   200    200    200   0.10   KR   83.800003
 37   220    220    210   0.10   RB   85.467796
 38   200    200    210   0.10   SR   87.620003
 39   185    185    210   0.10   Y    88.905899
 40   155    155    210   0.10   ZR   91.220001
 41   145    145    210   0.10   NB   92.906403
 42   145    145    210   0.10   MO   95.940002
 43   135    135    210   0.10   TC   98.906197
